,NAME10,churn9714,churn0012,totemp1997,totemp2000,totemp12,totemp14,totemp9714,totemp0012,growjob,growhov,growinc,x_centr,y_centr
121,Lynwood,0.306654175,0.326366446,11227,11410,9761.5,9500.5,-1648.5,-1648.5,-1.99E-06,1.52E-06,7.70E-06,-118.2016484,33.92396169
122,Manhattan Beach,0.330282559,0.329610663,10237,10713,13602,14194,2889,2889,-4.43E-06,-1.90E-06,-6.13E-06,-118.3971287,33.88946888
123,Maywood,0.289553396,0.312709741,2668,2975,2325,2419,-650,-650,-5.04E-06,-3.18E-06,2.70E-05,-118.1876666,33.98850504
124,Mead Valley,0.387719879,0.421514498,245,328,506,599,178,178,NA,NA,NA,-117.2850097,33.83325057
125,Menifee,0.384584751,0.411284703,3347,3421,7286,8235,3865,3865,5.03E-05,2.14E-05,-2.84E-05,-117.184877,33.69095329
126,Mira Loma,0.42696902,0.421100522,727,1717,1016,1457,-701,-701,NA,NA,NA,-117.5201761,33.98278483
127,Mission Viejo,0.383793585,0.389319012,17295,15310,21222.5,25647,5912.5,5912.5,1.04E-05,-7.60E-06,6.18E-06,-117.6550296,33.60959769
128,Monrovia,0.330343064,0.348356733,8716,8326,9090.5,9053.5,764.5,764.5,-1.99E-06,3.90E-06,1.80E-05,-117.9921048,34.16505501
129,Montclair,0.388521408,0.400908315,13361,13344,13676,14428,332,332,2.04E-06,8.49E-07,2.20E-06,-117.6980532,34.07145359
130,Montebello,0.308237539,0.331784174,21687,22735,23015.5,24117,280.5,280.5,1.62E-06,4.61E-07,1.05E-06,-118.1107878,34.01544546
131,Monterey Park,0.320971782,0.347479069,19475,18455,49548,49963,31093,31093,1.51E-06,-6.75E-07,5.46E-06,-118.1325452,34.0497117
132,Moorpark,0.348917156,0.33263101,3527,3741,5555.5,6036,1814.5,1814.5,2.39E-05,-6.08E-06,1.85E-05,-118.8769721,34.28552075
133,Moreno Valley,0.382371356,0.411511916,11808,13768,21087,22008,7319,7319,-7.08E-07,2.24E-06,-3.66E-06,-117.2045019,33.92443141
134,Murrieta,0.422619161,0.463396119,5070,5581,16607.5,17119.5,11026.5,11026.5,3.43E-05,8.35E-06,-2.84E-05,-117.1909212,33.57197434
135,National City,0.310987003,0.331345095,8647,8239,8817,9290,578,578,2.63E-06,2.47E-06,1.72E-05,-117.0931331,32.67008009
136,Newport Beach,0.401067432,0.40378365,21294,31233,34214.5,34582.5,2981.5,2981.5,-1.62E-06,2.05E-06,2.83E-06,-117.8654758,33.61537789
137,Norco,0.383807609,0.415177402,4933,5215,11927,12180,6712,6712,9.49E-06,-5.36E-06,-4.33E-06,-117.5503987,33.92565031
138,North Tustin,0.391392829,0.415444204,339,344,609,592,265,265,NA,NA,NA,-117.7943016,33.76460116
